2021-10-08 10:33:22,404 INFO    MainThread:3239233 [wandb_setup.py:_flush():69] setting env: {}
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_setup.py:_flush():69] setting login settings: {}
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_setup.py:_flush():69] setting login settings: {}
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_init.py:_log_setup():357] Logging user logs to /home/ei-lab/code/sailon/WSU-SAILON-NG/WSU-Portable-Generator/source/wandb/run-20211008_103322-wnpakz79/logs/debug.log
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_init.py:_log_setup():358] Logging internal logs to /home/ei-lab/code/sailon/WSU-SAILON-NG/WSU-Portable-Generator/source/wandb/run-20211008_103322-wnpakz79/logs/debug-internal.log
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_init.py:init():390] calling init triggers
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_init.py:init():397] wandb.init called with sweep_config: {}
config: {}
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [wandb_init.py:init():435] starting backend
2021-10-08 10:33:22,405 INFO    MainThread:3239233 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-10-08 10:33:22,424 INFO    MainThread:3239233 [backend.py:ensure_launched():135] starting backend process...
2021-10-08 10:33:22,441 INFO    MainThread:3239233 [backend.py:ensure_launched():140] started backend process with pid: 3239282
2021-10-08 10:33:22,442 INFO    MainThread:3239233 [wandb_init.py:init():440] backend started and connected
2021-10-08 10:33:22,443 INFO    MainThread:3239233 [wandb_init.py:init():499] updated telemetry
2021-10-08 10:33:22,443 INFO    MainThread:3239233 [wandb_init.py:init():522] communicating current version
2021-10-08 10:33:22,830 INFO    MainThread:3239233 [wandb_init.py:init():527] got version response 
2021-10-08 10:33:22,830 INFO    MainThread:3239233 [wandb_init.py:init():535] communicating run to backend with 30 second timeout
2021-10-08 10:33:22,953 INFO    MainThread:3239233 [wandb_init.py:init():562] starting run threads in backend
2021-10-08 10:33:23,616 INFO    MainThread:3239233 [wandb_run.py:_console_start():1651] atexit reg
2021-10-08 10:33:23,617 INFO    MainThread:3239233 [wandb_run.py:_redirect():1525] redirect: SettingsConsole.REDIRECT
2021-10-08 10:33:23,617 INFO    MainThread:3239233 [wandb_run.py:_redirect():1530] Redirecting console.
2021-10-08 10:33:23,618 INFO    MainThread:3239233 [wandb_run.py:_redirect():1586] Redirects installed.
2021-10-08 10:33:23,618 INFO    MainThread:3239233 [wandb_init.py:init():587] run started, returning control to user process
2021-10-08 10:33:23,619 INFO    MainThread:3239233 [wandb_config.py:__setitem__():143] config set policy = MlpPolicy - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fcf48070bd0>>
2021-10-08 10:33:23,619 INFO    MainThread:3239233 [wandb_run.py:_config_callback():878] config_cb policy MlpPolicy None
2021-10-08 10:33:23,619 INFO    MainThread:3239233 [wandb_config.py:__setitem__():143] config set total_timesteps = 500 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fcf48070bd0>>
2021-10-08 10:33:23,619 INFO    MainThread:3239233 [wandb_run.py:_config_callback():878] config_cb total_timesteps 500 None
2021-10-08 10:33:36,661 INFO    MainThread:3239233 [wandb_run.py:_atexit_cleanup():1621] got exitcode: 0
2021-10-08 10:33:36,662 INFO    MainThread:3239233 [wandb_run.py:_restore():1593] restore
